"SecondaryStratumID","TransitionGroupID","Timestep","Amount"
"Abercorn","Agricultural Expansion [Type]",1,12.24
"Abercorn","Agricultural Expansion [Type]",2,1.98
"Abercorn","Agricultural Loss [Type]",1,16.65
"Abercorn","Agricultural Loss [Type]",2,7.29
"Abercorn","Deforestation [Type]",1,18.9
"Abercorn","Deforestation [Type]",2,2.07
"Acton Vale","Agricultural Expansion [Type]",1,96.93
"Acton Vale","Agricultural Expansion [Type]",2,4.23
"Acton Vale","Agricultural Loss [Type]",1,38.7
"Acton Vale","Agricultural Loss [Type]",2,63
"Acton Vale","Deforestation [Type]",1,111.15
"Acton Vale","Deforestation [Type]",2,29.52
"Akwesasne","Agricultural Expansion [Type]",1,0.27
"Akwesasne","Agricultural Expansion [Type]",2,0
"Akwesasne","Agricultural Loss [Type]",1,0
"Akwesasne","Agricultural Loss [Type]",2,10.98
"Akwesasne","Deforestation [Type]",1,0.09
"Akwesasne","Deforestation [Type]",2,8.82
"Ange-Gardien","Agricultural Expansion [Type]",1,202.14
"Ange-Gardien","Agricultural Expansion [Type]",2,7.11
"Ange-Gardien","Agricultural Loss [Type]",1,10.89
"Ange-Gardien","Agricultural Loss [Type]",2,29.88
"Ange-Gardien","Deforestation [Type]",1,5.94
"Ange-Gardien","Deforestation [Type]",2,4.23
"Beauharnois","Agricultural Expansion [Type]",1,89.64
"Beauharnois","Agricultural Expansion [Type]",2,2.25
"Beauharnois","Agricultural Loss [Type]",1,43.47
"Beauharnois","Agricultural Loss [Type]",2,50.76
"Beauharnois","Deforestation [Type]",1,42.66
"Beauharnois","Deforestation [Type]",2,28.44
"Bedford","Agricultural Expansion [Type]",1,8.91
"Bedford","Agricultural Expansion [Type]",2,1.26
"Bedford","Agricultural Loss [Type]",1,21.96
"Bedford","Agricultural Loss [Type]",2,13.41
"Bedford","Deforestation [Type]",1,4.86
"Bedford","Deforestation [Type]",2,12.51
"Beloeil","Agricultural Expansion [Type]",1,4.86
"Beloeil","Agricultural Expansion [Type]",2,0
"Beloeil","Agricultural Loss [Type]",1,32.4
"Beloeil","Agricultural Loss [Type]",2,118.8
"Beloeil","Deforestation [Type]",1,3.69
"Beloeil","Deforestation [Type]",2,0.09
"Béthanie","Agricultural Expansion [Type]",1,237.33
"Béthanie","Agricultural Expansion [Type]",2,9.9
"Béthanie","Agricultural Loss [Type]",1,8.82
"Béthanie","Agricultural Loss [Type]",2,0.72
"Béthanie","Deforestation [Type]",1,13.59
"Béthanie","Deforestation [Type]",2,0.27
"Bolton-Ouest","Agricultural Expansion [Type]",1,119.43
"Bolton-Ouest","Agricultural Expansion [Type]",2,4.86
"Bolton-Ouest","Agricultural Loss [Type]",1,29.34
"Bolton-Ouest","Agricultural Loss [Type]",2,3.69
"Bolton-Ouest","Deforestation [Type]",1,186.39
"Bolton-Ouest","Deforestation [Type]",2,56.07
"Boucherville","Agricultural Expansion [Type]",1,59.67
"Boucherville","Agricultural Expansion [Type]",2,3.6
"Boucherville","Agricultural Loss [Type]",1,163.8
"Boucherville","Agricultural Loss [Type]",2,265.95
"Boucherville","Deforestation [Type]",1,85.68
"Boucherville","Deforestation [Type]",2,54.99
"Brigham","Agricultural Expansion [Type]",1,221.85
"Brigham","Agricultural Expansion [Type]",2,16.65
"Brigham","Agricultural Loss [Type]",1,42.39
"Brigham","Agricultural Loss [Type]",2,48.24
"Brigham","Deforestation [Type]",1,56.34
"Brigham","Deforestation [Type]",2,51.03
"Brome","Agricultural Expansion [Type]",1,16.11
"Brome","Agricultural Expansion [Type]",2,0.72
"Brome","Agricultural Loss [Type]",1,0.81
"Brome","Agricultural Loss [Type]",2,1.35
"Brome","Deforestation [Type]",1,0.81
"Brome","Deforestation [Type]",2,7.11
"Bromont","Agricultural Expansion [Type]",1,237.6
"Bromont","Agricultural Expansion [Type]",2,11.16
"Bromont","Agricultural Loss [Type]",1,52.83
"Bromont","Agricultural Loss [Type]",2,81
"Bromont","Deforestation [Type]",1,171.36
"Bromont","Deforestation [Type]",2,320.58
"Brossard","Agricultural Expansion [Type]",1,31.23
"Brossard","Agricultural Expansion [Type]",2,1.17
"Brossard","Agricultural Loss [Type]",1,109.26
"Brossard","Agricultural Loss [Type]",2,278.28
"Brossard","Deforestation [Type]",1,58.86
"Brossard","Deforestation [Type]",2,14.13
"Calixa-Lavallée","Agricultural Expansion [Type]",1,6.93
"Calixa-Lavallée","Agricultural Expansion [Type]",2,0.09
"Calixa-Lavallée","Agricultural Loss [Type]",1,5.22
"Calixa-Lavallée","Agricultural Loss [Type]",2,2.61
"Calixa-Lavallée","Deforestation [Type]",1,0
"Calixa-Lavallée","Deforestation [Type]",2,0.09
"Candiac","Agricultural Expansion [Type]",1,14.04
"Candiac","Agricultural Expansion [Type]",2,0.09
"Candiac","Agricultural Loss [Type]",1,39.51
"Candiac","Agricultural Loss [Type]",2,102.24
"Candiac","Deforestation [Type]",1,57.42
"Candiac","Deforestation [Type]",2,87.48
"Carignan","Agricultural Expansion [Type]",1,70.83
"Carignan","Agricultural Expansion [Type]",2,2.34
"Carignan","Agricultural Loss [Type]",1,34.38
"Carignan","Agricultural Loss [Type]",2,88.29
"Carignan","Deforestation [Type]",1,52.29
"Carignan","Deforestation [Type]",2,68.85
"Chambly","Agricultural Expansion [Type]",1,26.1
"Chambly","Agricultural Expansion [Type]",2,0.45
"Chambly","Agricultural Loss [Type]",1,36.09
"Chambly","Agricultural Loss [Type]",2,142.11
"Chambly","Deforestation [Type]",1,53.82
"Chambly","Deforestation [Type]",2,26.46
"Châteauguay","Agricultural Expansion [Type]",1,7.74
"Châteauguay","Agricultural Expansion [Type]",2,0.45
"Châteauguay","Agricultural Loss [Type]",1,51.48
"Châteauguay","Agricultural Loss [Type]",2,79.11
"Châteauguay","Deforestation [Type]",1,57.87
"Châteauguay","Deforestation [Type]",2,35.19
"Contrecoeur","Agricultural Expansion [Type]",1,42.48
"Contrecoeur","Agricultural Expansion [Type]",2,1.98
"Contrecoeur","Agricultural Loss [Type]",1,26.82
"Contrecoeur","Agricultural Loss [Type]",2,35.91
"Contrecoeur","Deforestation [Type]",1,50.04
"Contrecoeur","Deforestation [Type]",2,65.07
"Coteau-du-Lac","Agricultural Expansion [Type]",1,27.45
"Coteau-du-Lac","Agricultural Expansion [Type]",2,0.45
"Coteau-du-Lac","Agricultural Loss [Type]",1,46.08
"Coteau-du-Lac","Agricultural Loss [Type]",2,83.79
"Coteau-du-Lac","Deforestation [Type]",1,44.73
"Coteau-du-Lac","Deforestation [Type]",2,22.77
"Cowansville","Agricultural Expansion [Type]",1,47.16
"Cowansville","Agricultural Expansion [Type]",2,3.6
"Cowansville","Agricultural Loss [Type]",1,37.8
"Cowansville","Agricultural Loss [Type]",2,23.94
"Cowansville","Deforestation [Type]",1,83.16
"Cowansville","Deforestation [Type]",2,63.63
"Delson","Agricultural Expansion [Type]",1,0.54
"Delson","Agricultural Expansion [Type]",2,0
"Delson","Agricultural Loss [Type]",1,66.15
"Delson","Agricultural Loss [Type]",2,8.19
"Delson","Deforestation [Type]",1,32.85
"Delson","Deforestation [Type]",2,11.34
"Dundee","Agricultural Expansion [Type]",1,270.18
"Dundee","Agricultural Expansion [Type]",2,5.58
"Dundee","Agricultural Loss [Type]",1,17.46
"Dundee","Agricultural Loss [Type]",2,2.07
"Dundee","Deforestation [Type]",1,0.72
"Dundee","Deforestation [Type]",2,0.9
"Dunham","Agricultural Expansion [Type]",1,139.59
"Dunham","Agricultural Expansion [Type]",2,13.86
"Dunham","Agricultural Loss [Type]",1,88.65
"Dunham","Agricultural Loss [Type]",2,25.83
"Dunham","Deforestation [Type]",1,107.19
"Dunham","Deforestation [Type]",2,63.18
"East Farnham","Agricultural Expansion [Type]",1,10.08
"East Farnham","Agricultural Expansion [Type]",2,2.43
"East Farnham","Agricultural Loss [Type]",1,2.61
"East Farnham","Agricultural Loss [Type]",2,0.27
"East Farnham","Deforestation [Type]",1,8.73
"East Farnham","Deforestation [Type]",2,3.06
"Elgin","Agricultural Expansion [Type]",1,119.25
"Elgin","Agricultural Expansion [Type]",2,3.78
"Elgin","Agricultural Loss [Type]",1,7.29
"Elgin","Agricultural Loss [Type]",2,0.99
"Elgin","Deforestation [Type]",1,1.26
"Elgin","Deforestation [Type]",2,0
"Farnham","Agricultural Expansion [Type]",1,131.49
"Farnham","Agricultural Expansion [Type]",2,5.67
"Farnham","Agricultural Loss [Type]",1,29.79
"Farnham","Agricultural Loss [Type]",2,66.15
"Farnham","Deforestation [Type]",1,38.34
"Farnham","Deforestation [Type]",2,78.75
"Franklin","Agricultural Expansion [Type]",1,196.74
"Franklin","Agricultural Expansion [Type]",2,22.05
"Franklin","Agricultural Loss [Type]",1,1.8
"Franklin","Agricultural Loss [Type]",2,6.66
"Franklin","Deforestation [Type]",1,3.24
"Franklin","Deforestation [Type]",2,3.06
"Frelighsburg","Agricultural Expansion [Type]",1,39.24
"Frelighsburg","Agricultural Expansion [Type]",2,7.47
"Frelighsburg","Agricultural Loss [Type]",1,32.4
"Frelighsburg","Agricultural Loss [Type]",2,9.36
"Frelighsburg","Deforestation [Type]",1,52.47
"Frelighsburg","Deforestation [Type]",2,9.54
"Godmanchester","Agricultural Expansion [Type]",1,331.65
"Godmanchester","Agricultural Expansion [Type]",2,5.85
"Godmanchester","Agricultural Loss [Type]",1,14.76
"Godmanchester","Agricultural Loss [Type]",2,10.26
"Godmanchester","Deforestation [Type]",1,4.68
"Godmanchester","Deforestation [Type]",2,1.8
"Granby","Agricultural Expansion [Type]",1,198
"Granby","Agricultural Expansion [Type]",2,4.59
"Granby","Agricultural Loss [Type]",1,79.11
"Granby","Agricultural Loss [Type]",2,200.97
"Granby","Deforestation [Type]",1,183.33
"Granby","Deforestation [Type]",2,308.07
"Havelock","Agricultural Expansion [Type]",1,83.88
"Havelock","Agricultural Expansion [Type]",2,11.43
"Havelock","Agricultural Loss [Type]",1,1.98
"Havelock","Agricultural Loss [Type]",2,8.1
"Havelock","Deforestation [Type]",1,2.61
"Havelock","Deforestation [Type]",2,22.32
"Hemmingford","Agricultural Expansion [Type]",1,147.87
"Hemmingford","Agricultural Expansion [Type]",2,25.47
"Hemmingford","Agricultural Loss [Type]",1,10.35
"Hemmingford","Agricultural Loss [Type]",2,9.54
"Hemmingford","Deforestation [Type]",1,8.64
"Hemmingford","Deforestation [Type]",2,17.01
"Henryville","Agricultural Expansion [Type]",1,9.45
"Henryville","Agricultural Expansion [Type]",2,0.36
"Henryville","Agricultural Loss [Type]",1,6.84
"Henryville","Agricultural Loss [Type]",2,18
"Henryville","Deforestation [Type]",1,1.26
"Henryville","Deforestation [Type]",2,0.45
"Hinchinbrooke","Agricultural Expansion [Type]",1,291.69
"Hinchinbrooke","Agricultural Expansion [Type]",2,17.82
"Hinchinbrooke","Agricultural Loss [Type]",1,6.57
"Hinchinbrooke","Agricultural Loss [Type]",2,43.83
"Hinchinbrooke","Deforestation [Type]",1,11.07
"Hinchinbrooke","Deforestation [Type]",2,65.52
"Howick","Agricultural Expansion [Type]",1,0.18
"Howick","Agricultural Expansion [Type]",2,0
"Howick","Agricultural Loss [Type]",1,0.63
"Howick","Agricultural Loss [Type]",2,6.12
"Howick","Deforestation [Type]",1,0.09
"Howick","Deforestation [Type]",2,0
"Hudson","Agricultural Expansion [Type]",1,14.13
"Hudson","Agricultural Expansion [Type]",2,0.63
"Hudson","Agricultural Loss [Type]",1,12.24
"Hudson","Agricultural Loss [Type]",2,19.08
"Hudson","Deforestation [Type]",1,39.06
"Hudson","Deforestation [Type]",2,151.47
"Huntingdon","Agricultural Expansion [Type]",1,0.45
"Huntingdon","Agricultural Expansion [Type]",2,0
"Huntingdon","Agricultural Loss [Type]",1,11.88
"Huntingdon","Agricultural Loss [Type]",2,10.62
"Huntingdon","Deforestation [Type]",1,0.81
"Huntingdon","Deforestation [Type]",2,0.54
"Kahnawake","Agricultural Expansion [Type]",1,31.68
"Kahnawake","Agricultural Expansion [Type]",2,3.06
"Kahnawake","Agricultural Loss [Type]",1,29.61
"Kahnawake","Agricultural Loss [Type]",2,16.74
"Kahnawake","Deforestation [Type]",1,82.08
"Kahnawake","Deforestation [Type]",2,47.61
"L'Île-Cadieux","Agricultural Expansion [Type]",1,0
"L'Île-Cadieux","Agricultural Expansion [Type]",2,0
"L'Île-Cadieux","Agricultural Loss [Type]",1,0
"L'Île-Cadieux","Agricultural Loss [Type]",2,0
"L'Île-Cadieux","Deforestation [Type]",1,0
"L'Île-Cadieux","Deforestation [Type]",2,0
"L'Île-Perrot","Agricultural Expansion [Type]",1,0
"L'Île-Perrot","Agricultural Expansion [Type]",2,0
"L'Île-Perrot","Agricultural Loss [Type]",1,0.18
"L'Île-Perrot","Agricultural Loss [Type]",2,1.26
"L'Île-Perrot","Deforestation [Type]",1,24.66
"L'Île-Perrot","Deforestation [Type]",2,38.43
"La Prairie","Agricultural Expansion [Type]",1,54.36
"La Prairie","Agricultural Expansion [Type]",2,0.45
"La Prairie","Agricultural Loss [Type]",1,50.49
"La Prairie","Agricultural Loss [Type]",2,30.6
"La Prairie","Deforestation [Type]",1,24.3
"La Prairie","Deforestation [Type]",2,51.57
"La Présentation","Agricultural Expansion [Type]",1,77.85
"La Présentation","Agricultural Expansion [Type]",2,2.79
"La Présentation","Agricultural Loss [Type]",1,0.9
"La Présentation","Agricultural Loss [Type]",2,12.69
"La Présentation","Deforestation [Type]",1,3.24
"La Présentation","Deforestation [Type]",2,7.11
"Lac-Brome","Agricultural Expansion [Type]",1,310.95
"Lac-Brome","Agricultural Expansion [Type]",2,16.74
"Lac-Brome","Agricultural Loss [Type]",1,71.64
"Lac-Brome","Agricultural Loss [Type]",2,29.97
"Lac-Brome","Deforestation [Type]",1,246.6
"Lac-Brome","Deforestation [Type]",2,180.45
"Lacolle","Agricultural Expansion [Type]",1,23.85
"Lacolle","Agricultural Expansion [Type]",2,2.25
"Lacolle","Agricultural Loss [Type]",1,9.81
"Lacolle","Agricultural Loss [Type]",2,22.68
"Lacolle","Deforestation [Type]",1,1.98
"Lacolle","Deforestation [Type]",2,0.63
"Léry","Agricultural Expansion [Type]",1,8.46
"Léry","Agricultural Expansion [Type]",2,0.54
"Léry","Agricultural Loss [Type]",1,10.08
"Léry","Agricultural Loss [Type]",2,0.54
"Léry","Deforestation [Type]",1,11.79
"Léry","Deforestation [Type]",2,2.43
"Les Cèdres","Agricultural Expansion [Type]",1,35.46
"Les Cèdres","Agricultural Expansion [Type]",2,3.15
"Les Cèdres","Agricultural Loss [Type]",1,121.77
"Les Cèdres","Agricultural Loss [Type]",2,91.89
"Les Cèdres","Deforestation [Type]",1,25.47
"Les Cèdres","Deforestation [Type]",2,24.84
"Les Coteaux","Agricultural Expansion [Type]",1,17.28
"Les Coteaux","Agricultural Expansion [Type]",2,0.09
"Les Coteaux","Agricultural Loss [Type]",1,31.5
"Les Coteaux","Agricultural Loss [Type]",2,26.91
"Les Coteaux","Deforestation [Type]",1,20.79
"Les Coteaux","Deforestation [Type]",2,24.12
"Longueuil","Agricultural Expansion [Type]",1,65.43
"Longueuil","Agricultural Expansion [Type]",2,6.12
"Longueuil","Agricultural Loss [Type]",1,81.72
"Longueuil","Agricultural Loss [Type]",2,185.67
"Longueuil","Deforestation [Type]",1,165.69
"Longueuil","Deforestation [Type]",2,124.92
"Marieville","Agricultural Expansion [Type]",1,81
"Marieville","Agricultural Expansion [Type]",2,0.72
"Marieville","Agricultural Loss [Type]",1,11.97
"Marieville","Agricultural Loss [Type]",2,96.21
"Marieville","Deforestation [Type]",1,1.44
"Marieville","Deforestation [Type]",2,4.14
"Massueville","Agricultural Expansion [Type]",1,2.16
"Massueville","Agricultural Expansion [Type]",2,0
"Massueville","Agricultural Loss [Type]",1,1.26
"Massueville","Agricultural Loss [Type]",2,6.39
"Massueville","Deforestation [Type]",1,0.63
"Massueville","Deforestation [Type]",2,0.99
"McMasterville","Agricultural Expansion [Type]",1,0.09
"McMasterville","Agricultural Expansion [Type]",2,0
"McMasterville","Agricultural Loss [Type]",1,6.75
"McMasterville","Agricultural Loss [Type]",2,39.06
"McMasterville","Deforestation [Type]",1,1.71
"McMasterville","Deforestation [Type]",2,2.25
"Mercier","Agricultural Expansion [Type]",1,43.83
"Mercier","Agricultural Expansion [Type]",2,1.62
"Mercier","Agricultural Loss [Type]",1,34.02
"Mercier","Agricultural Loss [Type]",2,99.81
"Mercier","Deforestation [Type]",1,9.45
"Mercier","Deforestation [Type]",2,14.22
"Mont-Saint-Grégoire","Agricultural Expansion [Type]",1,86.49
"Mont-Saint-Grégoire","Agricultural Expansion [Type]",2,2.25
"Mont-Saint-Grégoire","Agricultural Loss [Type]",1,2.43
"Mont-Saint-Grégoire","Agricultural Loss [Type]",2,54.63
"Mont-Saint-Grégoire","Deforestation [Type]",1,0.81
"Mont-Saint-Grégoire","Deforestation [Type]",2,2.16
"Mont-Saint-Hilaire","Agricultural Expansion [Type]",1,26.64
"Mont-Saint-Hilaire","Agricultural Expansion [Type]",2,3.06
"Mont-Saint-Hilaire","Agricultural Loss [Type]",1,119.34
"Mont-Saint-Hilaire","Agricultural Loss [Type]",2,81.18
"Mont-Saint-Hilaire","Deforestation [Type]",1,101.61
"Mont-Saint-Hilaire","Deforestation [Type]",2,60.57
"Napierville","Agricultural Expansion [Type]",1,0.18
"Napierville","Agricultural Expansion [Type]",2,0
"Napierville","Agricultural Loss [Type]",1,10.35
"Napierville","Agricultural Loss [Type]",2,23.31
"Napierville","Deforestation [Type]",1,3.06
"Napierville","Deforestation [Type]",2,4.86
"Notre-Dame-de-l'Île-Perrot","Agricultural Expansion [Type]",1,3.87
"Notre-Dame-de-l'Île-Perrot","Agricultural Expansion [Type]",2,0.54
"Notre-Dame-de-l'Île-Perrot","Agricultural Loss [Type]",1,14.4
"Notre-Dame-de-l'Île-Perrot","Agricultural Loss [Type]",2,48.96
"Notre-Dame-de-l'Île-Perrot","Deforestation [Type]",1,47.34
"Notre-Dame-de-l'Île-Perrot","Deforestation [Type]",2,69.75
"Notre-Dame-de-Stanbridge","Agricultural Expansion [Type]",1,4.14
"Notre-Dame-de-Stanbridge","Agricultural Expansion [Type]",2,0.27
"Notre-Dame-de-Stanbridge","Agricultural Loss [Type]",1,1.26
"Notre-Dame-de-Stanbridge","Agricultural Loss [Type]",2,12.78
"Notre-Dame-de-Stanbridge","Deforestation [Type]",1,0.09
"Notre-Dame-de-Stanbridge","Deforestation [Type]",2,0.72
"Noyan","Agricultural Expansion [Type]",1,22.23
"Noyan","Agricultural Expansion [Type]",2,0.36
"Noyan","Agricultural Loss [Type]",1,14.31
"Noyan","Agricultural Loss [Type]",2,62.19
"Noyan","Deforestation [Type]",1,4.68
"Noyan","Deforestation [Type]",2,17.28
"Ormstown","Agricultural Expansion [Type]",1,204.03
"Ormstown","Agricultural Expansion [Type]",2,5.22
"Ormstown","Agricultural Loss [Type]",1,5.04
"Ormstown","Agricultural Loss [Type]",2,25.74
"Ormstown","Deforestation [Type]",1,5.4
"Ormstown","Deforestation [Type]",2,7.29
"Otterburn Park","Agricultural Expansion [Type]",1,2.97
"Otterburn Park","Agricultural Expansion [Type]",2,0
"Otterburn Park","Agricultural Loss [Type]",1,3.87
"Otterburn Park","Agricultural Loss [Type]",2,12.06
"Otterburn Park","Deforestation [Type]",1,44.28
"Otterburn Park","Deforestation [Type]",2,9.18
"Pike River","Agricultural Expansion [Type]",1,2.7
"Pike River","Agricultural Expansion [Type]",2,0.09
"Pike River","Agricultural Loss [Type]",1,1.89
"Pike River","Agricultural Loss [Type]",2,11.34
"Pike River","Deforestation [Type]",1,2.79
"Pike River","Deforestation [Type]",2,1.35
"Pincourt","Agricultural Expansion [Type]",1,0
"Pincourt","Agricultural Expansion [Type]",2,0
"Pincourt","Agricultural Loss [Type]",1,1.98
"Pincourt","Agricultural Loss [Type]",2,3.33
"Pincourt","Deforestation [Type]",1,17.46
"Pincourt","Deforestation [Type]",2,106.83
"Pointe-des-Cascades","Agricultural Expansion [Type]",1,0.99
"Pointe-des-Cascades","Agricultural Expansion [Type]",2,0.63
"Pointe-des-Cascades","Agricultural Loss [Type]",1,2.52
"Pointe-des-Cascades","Agricultural Loss [Type]",2,4.5
"Pointe-des-Cascades","Deforestation [Type]",1,8.73
"Pointe-des-Cascades","Deforestation [Type]",2,5.4
"Pointe-Fortune","Agricultural Expansion [Type]",1,13.41
"Pointe-Fortune","Agricultural Expansion [Type]",2,1.8
"Pointe-Fortune","Agricultural Loss [Type]",1,5.22
"Pointe-Fortune","Agricultural Loss [Type]",2,4.41
"Pointe-Fortune","Deforestation [Type]",1,5.13
"Pointe-Fortune","Deforestation [Type]",2,14.76
"Richelieu","Agricultural Expansion [Type]",1,38.97
"Richelieu","Agricultural Expansion [Type]",2,0.63
"Richelieu","Agricultural Loss [Type]",1,4.68
"Richelieu","Agricultural Loss [Type]",2,30.78
"Richelieu","Deforestation [Type]",1,3.96
"Richelieu","Deforestation [Type]",2,1.62
"Rigaud","Agricultural Expansion [Type]",1,33.75
"Rigaud","Agricultural Expansion [Type]",2,3.06
"Rigaud","Agricultural Loss [Type]",1,30.33
"Rigaud","Agricultural Loss [Type]",2,115.56
"Rigaud","Deforestation [Type]",1,35.19
"Rigaud","Deforestation [Type]",2,180.81
"Rivière-Beaudette","Agricultural Expansion [Type]",1,16.47
"Rivière-Beaudette","Agricultural Expansion [Type]",2,0.27
"Rivière-Beaudette","Agricultural Loss [Type]",1,18.63
"Rivière-Beaudette","Agricultural Loss [Type]",2,43.47
"Rivière-Beaudette","Deforestation [Type]",1,29.97
"Rivière-Beaudette","Deforestation [Type]",2,29.25
"Rougemont","Agricultural Expansion [Type]",1,46.62
"Rougemont","Agricultural Expansion [Type]",2,8.37
"Rougemont","Agricultural Loss [Type]",1,9.27
"Rougemont","Agricultural Loss [Type]",2,8.64
"Rougemont","Deforestation [Type]",1,7.11
"Rougemont","Deforestation [Type]",2,4.14
"Roxton","Agricultural Expansion [Type]",1,170.82
"Roxton","Agricultural Expansion [Type]",2,7.74
"Roxton","Agricultural Loss [Type]",1,22.41
"Roxton","Agricultural Loss [Type]",2,7.11
"Roxton","Deforestation [Type]",1,19.53
"Roxton","Deforestation [Type]",2,2.88
"Roxton Falls","Agricultural Expansion [Type]",1,3.15
"Roxton Falls","Agricultural Expansion [Type]",2,0.09
"Roxton Falls","Agricultural Loss [Type]",1,2.88
"Roxton Falls","Agricultural Loss [Type]",2,12.51
"Roxton Falls","Deforestation [Type]",1,11.88
"Roxton Falls","Deforestation [Type]",2,6.12
"Roxton Pond","Agricultural Expansion [Type]",1,193.5
"Roxton Pond","Agricultural Expansion [Type]",2,10.53
